Fund,VaR_95,CVaR_95
Axis_Bluechip,-0.0006257235210297029,-0.006492619416342054
HDFC_Top_100_Direct,-0.01462033670134778,-0.019798443343465488
ICICI_Bluechip,-0.014217689957771323,-0.02585202012670569
Kotak_Bluechip,-0.014480648427275944,-0.020791030109826497
Nippon_India_Large_Cap,-0.015097007911446081,-0.021612731372880032
SBI_Bluechip,-0.001019355310314185,-0.008438260161434242
